"","Date","Time","Receipt.number","Name","Variant","Unit","Quantity","Price..GBP.","Discount..GBP.","Final.price..GBP."
"145",2017-08-02,2017-08-20 08:19:00,7452,"Latte","",NA,1,2.9,0,2.9
"146",2017-08-02,2017-08-20 08:19:00,7452,"Croissant Filled TA","",NA,1,3,0,3
"147",2017-08-02,2017-08-20 08:20:00,7453,"Cappuccino","",NA,1,2.7,0,2.7
"148",2017-08-02,2017-08-20 08:20:00,7453,"Croissant TA","Take Away",NA,1,1.5,0,1.5
"149",2017-08-02,2017-08-20 08:25:00,7454,"Latte","",NA,1,2.9,0,2.9
"150",2017-08-02,2017-08-20 08:25:00,7454,"Milk Alternatives","Hazelnut",NA,1,0.5,0,0.5
"151",2017-08-02,2017-08-20 08:30:00,7455,"Flat White","",NA,1,2.7,0,2.7
"152",2017-08-02,2017-08-20 08:33:00,7456,"Latte","",NA,1,2.9,0,2.9
"153",2017-08-02,2017-08-20 08:33:00,7456,"Milk Alternatives","Coconut",NA,1,0.5,0,0.5
"154",2017-08-02,2017-08-20 08:46:00,7457,"Latte","",NA,1,2.9,0,2.9
"155",2017-08-02,2017-08-20 08:49:00,7458,"Espresso","",NA,1,2,0.3,1.7
"156",2017-08-02,2017-08-20 08:52:00,7459,"Latte","",NA,1,2.9,0,2.9
"157",2017-08-02,2017-08-20 08:57:00,7460,"Americano","",NA,1,2.5,0,2.5
"158",2017-08-02,2017-08-20 08:57:00,7460,"Biscotto","",NA,1,1,0,1
"159",2017-08-02,2017-08-20 09:03:00,7461,"Cappuccino","",NA,1,2.7,0,2.7
"160",2017-08-02,2017-08-20 09:07:00,7462,"Espresso","",NA,1,2,0,2
"161",2017-08-02,2017-08-20 09:07:00,7462,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"162",2017-08-02,2017-08-20 09:13:00,7463,"Flat White","",NA,1,2.7,0,2.7
"163",2017-08-02,2017-08-20 09:13:00,7463,"Salmon bagel TA","",NA,1,3.7,0,3.7
"164",2017-08-02,2017-08-20 09:13:00,7463,"Milk Alternatives","Hazelnut",NA,1,0.5,0,0.5
"165",2017-08-02,2017-08-20 09:13:00,7463,"Daily Dose","Piccolo",NA,1,3.9,0,3.9
"166",2017-08-02,2017-08-20 09:16:00,7464,"Latte","",NA,1,2.9,0,2.9
"167",2017-08-02,2017-08-20 09:16:00,7465,"Flat White","",NA,1,2.7,0,2.7
"168",2017-08-02,2017-08-20 09:16:00,7465,"Latte","",NA,1,2.9,0,2.9
"169",2017-08-02,2017-08-20 09:16:00,7465,"Pain Au Choc TA","Take Away",NA,1,2,0,2
"170",2017-08-02,2017-08-20 09:16:00,7465,"Flapjack TA","",NA,1,2,0,2
"171",2017-08-02,2017-08-20 09:19:00,7466,"Cappuccino","",NA,1,2.7,0,2.7
"172",2017-08-02,2017-08-20 09:25:00,7467,"Macchiato","",NA,1,2.2,0,2.2
"173",2017-08-02,2017-08-20 09:25:00,7467,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"174",2017-08-02,2017-08-20 09:40:00,7468,"Espresso","",NA,1,2,0,2
"175",2017-08-02,2017-08-20 09:40:00,7468,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"176",2017-08-02,2017-08-20 09:44:00,7469,"Flat White","",NA,1,2.7,0,2.7
"177",2017-08-02,2017-08-20 09:47:00,7470,"Flat White","",NA,1,2.7,0,2.7
"178",2017-08-02,2017-08-20 10:05:00,7471,"Americano","",NA,1,2.5,0,2.5
"179",2017-08-02,2017-08-20 10:20:00,7472,"Croissant TA","Take Away",NA,1,1.5,0,1.5
"180",2017-08-02,2017-08-20 10:21:00,7473,"Americano","",NA,1,2.5,0,2.5
"181",2017-08-02,2017-08-20 10:37:00,7474,"Espresso","",NA,1,2,0,2
"182",2017-08-02,2017-08-20 10:37:00,7474,"Pastel De Nata TA","",NA,1,1.8,0,1.8
"183",2017-08-02,2017-08-20 10:41:00,7475,"Americano","",NA,1,2.5,0,2.5
"184",2017-08-02,2017-08-20 10:47:00,7476,"Cappuccino","",NA,1,2.7,0,2.7
"185",2017-08-02,2017-08-20 11:05:00,7477,"Cappuccino","",NA,1,2.7,0,2.7
"186",2017-08-02,2017-08-20 11:05:00,7477,"Mocha","",NA,1,3.1,0,3.1
"187",2017-08-02,2017-08-20 11:05:00,7477,"Cake TA","Carrot",NA,1,2.8,0,2.8
"188",2017-08-02,2017-08-20 11:05:00,7477,"Wrap TA","Falafel",NA,1,3.5,0,3.5
"189",2017-08-02,2017-08-20 11:09:00,7478,"Latte","",NA,1,2.9,0,2.9
"190",2017-08-02,2017-08-20 11:22:00,7479,"Cake TA","Carrot",NA,1,2.8,0,2.8
"191",2017-08-02,2017-08-20 11:22:00,7479,"Daily Dose","Piccolo",NA,1,3.9,0,3.9
"192",2017-08-02,2017-08-20 11:31:00,7480,"Flat White","",NA,1,2.7,0,2.7
"193",2017-08-02,2017-08-20 11:31:00,7481,"Cappuccino","",NA,1,2.7,0,2.7
"194",2017-08-02,2017-08-20 11:40:00,7482,"Cappuccino","",NA,2,5.4,0,5.4
"195",2017-08-02,2017-08-20 11:40:00,7482,"Flat White","",NA,1,2.7,0,2.7
"196",2017-08-02,2017-08-20 11:40:00,7482,"Acqua San Pellegrino","",NA,1,1.5,0,1.5
"197",2017-08-02,2017-08-20 11:40:00,7482,"Brownie TA","",NA,1,2.2,0,2.2
"198",2017-08-02,2017-08-20 11:40:00,7482,"Flapjack TA","",NA,1,2,0,2
"199",2017-08-02,2017-08-20 11:40:00,7482,"Pastel De Nata TA","",NA,1,1.8,0,1.8
"200",2017-08-02,2017-08-20 11:41:00,7483,"Cappuccino","",NA,1,2.7,0,2.7
"201",2017-08-02,2017-08-20 11:41:00,7483,"Milk Alternatives","Coconut",NA,1,0.5,0,0.5
"202",2017-08-02,2017-08-20 11:41:00,7483,"Cake TA","Caprese",NA,1,2.8,0,2.8
"203",2017-08-02,2017-08-20 11:41:00,7483,"Tea","",NA,1,2.5,0,2.5
"204",2017-08-02,2017-08-20 11:41:00,7484,"Macchiato","",NA,1,2.2,0.33,1.87
"205",2017-08-02,2017-08-20 11:41:00,7484,"Flat White","",NA,1,2.7,0.41,2.29
"206",2017-08-02,2017-08-20 11:41:00,7484,"Pastel De Nata TA","",NA,1,1.8,0.27,1.53
"207",2017-08-02,2017-08-20 11:55:00,7485,"Brownie TA","",NA,1,2.2,0,2.2
"208",2017-08-02,2017-08-20 12:43:00,7486,"Cappuccino","",NA,1,2.7,0,2.7
"209",2017-08-02,2017-08-20 12:43:00,7486,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"210",2017-08-02,2017-08-20 13:29:00,7487,"Wrap TA","Chicken",NA,1,3.5,0.53,2.97
"211",2017-08-02,2017-08-20 13:29:00,7487,"Biscotto","",NA,1,1,0.15,0.85
"212",2017-08-02,2017-08-20 13:30:00,7488,"Biscotto","",NA,1,1,0,1
"213",2017-08-02,2017-08-20 15:42:00,7489,"Salmon bagel TA","",NA,1,3.7,0,3.7
"214",2017-08-02,2017-08-20 15:42:00,7489,"Daily Dose","Piccolo",NA,1,3.9,0,3.9
"215",2017-08-02,2017-08-20 15:53:00,7490,"Salmon bagel TA","",NA,1,3.7,0,3.7
"216",2017-08-02,2017-08-20 15:53:00,7490,"Tea","",NA,1,2.5,0,2.5
"217",2017-08-02,2017-08-20 15:53:00,7490,"Milk Alternatives","Soy",NA,1,0.5,0,0.5
"218",2017-08-02,2017-08-20 16:05:00,7491,"Iced Coffee TA","Americano",NA,2,5.4,0,5.4
